latitude,longitude,county_name
37.765287,-122.445374,San Francisco County
32.7588583333,-117.1785716667,San Diego County
37.804025,-122.2650533333,Alameda County
37.804015,-122.265027,Alameda County
33.970652,-118.242064,Los Angeles County
37.9282181254,-122.5243369718,Marin County
37.803905,-122.26503,Alameda County
32.7276362,-117.0115826,San Diego County
37.7749295,-122.4194155,San Francisco County
32.556526,-117.051044,San Diego County
34.0895770699,-118.290434528,Los Angeles County
33.6415859079,-117.8701007088,Orange County
34.3138441468,-118.4123078013,Los Angeles County
33.7118933536,-117.7827062086,Orange County
37.0719194586,-121.3231827019,Santa Clara County
37.6469719249,-118.9991743271,Mono County
34.0462833333,-118.2513888889,Los Angeles County
37.26592,-122.0090416667,Santa Clara County
33.6178155826,-117.0887700388,Riverside County
36.0837211609,-119.0280380249,Tulare County
36.0839118958,-119.0277328491,Tulare County
37.979930914,-122.0531541948,Contra Costa County
37.7836916667,-122.4113616667,San Francisco County
37.9609293401,-120.2380191162,Tuolumne County
32.84738084,-116.88516563,San Diego County
37.3268430431,-120.494956316,Merced County
35.370455,-120.8495033333,San Luis Obispo County
34.0972222222,-118.1344444444,Los Angeles County
37.2913499742,-121.8522153227,Santa Clara County
38.3488766667,-122.71641,Sonoma County
37.2145195928,-121.974136676,Santa Clara County
32.6294915,-116.9399175,San Diego County
34.23797761,-118.5213017,Los Angeles County
35.6677088028,-118.3650952677,Kern County
38.00864167,-121.835555,Contra Costa County
33.8640087809,-118.204368051,Los Angeles County
36.32620333,-119.39186167,Tulare County
34.0509857002,-118.345427984,Los Angeles County
34.4448961512,-119.8371838056,Santa Barbara County
38.7416099405,-121.1925116926,Placer County
34.0509338441,-118.34536518,Los Angeles County
32.652625,-116.70749667,San Diego County
32.750773263,-117.1116977715,San Diego County
39.3066304789,-120.380632685,Placer County
32.76023833,-116.99632167,San Diego County
38.5757209328,-121.368341709,Sacramento County
33.1810609616,-117.1164042503,San Diego County
37.5908304889,-122.0216872471,Alameda County
33.4273521,-117.6126004,Orange County
33.4273521,-117.6126004,Orange County
38.4253277055,-121.4480755784,Sacramento County
33.9213352616,-118.4309008446,Los Angeles County
34.0508592489,-117.1816092913,San Bernardino County
32.8017415558,-116.9053945602,San Diego County
32.8015173457,-116.9054043042,San Diego County
37.3313836696,-122.0959304808,Santa Clara County
34.0564749228,-118.9650802602,Ventura County
33.7742270162,-116.4417516232,Riverside County
34.1355216667,-117.4288316667,San Bernardino County
34.13554,-117.4287616667,San Bernardino County
34.1355366667,-117.4287133333,San Bernardino County
41.8919540871,-121.5612014229,Siskiyou County
34.4103305556,-119.8640361111,Santa Barbara County
37.4593004758,-122.1063523403,Santa Clara County
33.5741883333,-117.2368783333,Riverside County
39.5819333333,-120.370155,Sierra County
34.1457721667,-118.099625,Los Angeles County
33.2550466667,-119.4865583333,Ventura County
38.552658279,-121.7422847066,Yolo County
38.5840015257,-122.5758451916,Napa County
35.64098,-117.6678,Kern County
36.22337,-118.83027,Tulare County
38.91035,-122.2807833333,Yolo County
34.0313222222,-118.4823083333,Los Angeles County
34.2583581336,-118.3357162444,Los Angeles County
38.56774837,-121.40548462,Sacramento County
36.995846,-122.058839,Santa Cruz County
34.4042187,-118.5696313,Los Angeles County
33.9701337847,-117.325550035,Riverside County
33.9701302456,-117.3255361142,Riverside County
34.2265583333,-118.8748866667,Ventura County
32.6285586479,-116.9610751589,San Diego County
36.7543622055,-119.8624147773,Fresno County
33.6609125,-116.2735725,Riverside County
37.4032916,-120.0948836997,Mariposa County
37.4031599722,-120.0948819722,Mariposa County
38.258595,-121.440345,Sacramento County
37.7157859802,-121.4702529907,San Joaquin County
32.7513638574,-117.1605691568,San Diego County
37.2307045194,-121.8796473742,Santa Clara County
37.4032189722,-120.094729,Mariposa County
34.42286462,-118.45974719,Los Angeles County
37.8651383333,-122.095825,Contra Costa County
32.6858190754,-117.0830761269,San Diego County
33.8347311444,-117.9186990599,Orange County
34.1868955217,-118.4560687992,Los Angeles County
35.3974647522,-119.0928878784,Kern County
41.7557012744,-124.2025912553,Del Norte County
33.6259804187,-117.7158493976,Orange County
36.7435329743,-119.7435203417,Fresno County
36.3868293667,-121.55000305,Monterey County
33.7428876697,-117.8494754434,Orange County
36.353222,-121.2013819722,Monterey County
35.3659346908,-120.8499922603,San Luis Obispo County
34.1134852418,-117.825522168,Los Angeles County
34.1688417369,-117.8436099204,Los Angeles County
37.7485416667,-122.4288333333,San Francisco County
37.6021502459,-122.3703511601,San Mateo County
37.7622600376,-122.4332238542,San Francisco County
37.6139197045,-118.8310011789,Mono County
33.5908383333,-117.5948633333,Orange County
33.9932633996,-117.3161426559,Riverside County
36.9664611528,-122.0248467327,Santa Cruz County
33.9841635,-118.0879072,Los Angeles County
37.183655,-121.9992666667,Santa Clara County
38.2671666667,-121.3029333333,Sacramento County
39.5041390526,-120.2400518137,Sierra County
36.9965208213,-122.0523883635,Santa Cruz County
37.8641628177,-119.5383296907,Mariposa County
32.8297157288,-117.2766342163,San Diego County
