id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
36492688,Sun Dec 08 2019 21:56:29 GMT-0800 (PST),2019-12-08,2019-12-08 21:56:29 UTC,UTC,2182251,daogiang,,2019-12-09 05:56:32 UTC,2019-12-11 21:13:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36492688,https://inaturalist-open-data.s3.amazonaws.com/photos/57692300/medium.jpg,,,,2,0,FALSE,3,"Montecito Vista Dr, San Jose, CA, US",37.2913499742,-121.8522153227,65,,,,65,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
37478465,2019/12/11 1:09 AM PST,2019-12-11,2019-12-11 09:09:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,James Bailey,2020-01-11 07:10:52 UTC,2020-01-11 16:07:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37478465,https://inaturalist-open-data.s3.amazonaws.com/photos/59421211/medium.jpeg,,,,1,0,FALSE,,"Rohnert Park, CA, USA",38.3488766667,-122.71641,,,,,,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
39780810,Mon Mar 09 2020 18:08:53 GMT-0700 (PDT),2020-03-09,2020-03-10 01:08:53 UTC,Pacific Time (US & Canada),952718,kamedaphor,,2020-03-10 01:23:26 UTC,2020-03-11 22:58:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/39780810,https://inaturalist-open-data.s3.amazonaws.com/photos/63148049/medium.jpg,,,About 1 mm or less,0,0,FALSE,3,"California, US",37.2145195928,-121.974136676,61,,,,28417,obscured,,TRUE,,,Cimex,Cimex,,Insecta,69660
41216539,2020-04-01 11:51:34 PM PDT,2020-04-01,2020-04-02 06:51:34 UTC,Pacific Time (US & Canada),1014512,maplesm,,2020-04-02 06:53:37 UTC,2022-11-26 06:17:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41216539,https://inaturalist-open-data.s3.amazonaws.com/photos/65365975/medium.jpeg,,,,1,0,FALSE,2,"Eastlake Vistas, Chula Vista, CA, USA",32.6294915,-116.9399175,21,,,,21,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
45492197,2020-05-10 9:28:15 AM PDT,2020-05-10,2020-05-10 16:28:15 UTC,Pacific Time (US & Canada),2939241,santiagourbina,santiago urbina,2020-05-10 16:29:33 UTC,2020-06-12 20:50:50 UTC,needs_id,,https://www.inaturalist.org/observations/45492197,https://static.inaturalist.org/photos/72139713/medium.jpeg,,,,0,0,FALSE,2,"Los Angeles, CA 91325, EE. UU.",34.23797761,-118.5213017,7,,,,7,,,FALSE,,,,Cimicidae,Bed Bugs,Insecta,53667
46388764,2020/05/16 7:03 PM PDT,2020-05-16,2020-05-17 02:03:00 UTC,Pacific Time (US & Canada),791120,sanjoaquinserpents,Noah M. Morales,2020-05-18 16:42:57 UTC,2023-02-20 23:52:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46388764,https://inaturalist-open-data.s3.amazonaws.com/photos/73574772/medium.jpeg,,,https://www.inaturalist.org/observations/46268971 for bat identified as Parastrellus hesperus.,1,0,FALSE,,"California, US",35.6677088028,-118.3650952677,64,,,,28649,obscured,,TRUE,,,Bat Bug,Cimex pilosellus,Western Bat Bug,Insecta,130009
50349211,Sat Jun 20 2020 16:16:13 GMT-0700 (PDT),2020-06-20,2020-06-20 23:16:13 UTC,Pacific Time (US & Canada),2741766,ricardoblack,Ricardo Black,2020-06-21 00:52:57 UTC,2020-06-21 04:19:41 UTC,research,,https://www.inaturalist.org/observations/50349211,https://static.inaturalist.org/photos/79948967/medium.jpg,,,"It was found in a display couch in Costco !🥴🤢😣 I killed the bug, there was only one spotted!",1,0,FALSE,3,"Verne Roberts Cir, Antioch, CA, US",38.00864167,-121.835555,65,,,,65,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
51043045,Fri Jun 26 2020 15:07:05 GMT-0700 (PDT),2020-06-26,2020-06-26 22:07:05 UTC,Pacific Time (US & Canada),2838099,kanu1,,2020-06-27 00:07:18 UTC,2020-06-27 00:12:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/51043045,https://inaturalist-open-data.s3.amazonaws.com/photos/81079734/medium.jpg,,,"In home 
",0,0,FALSE,3,"Colin L. Powell Academy for Success, Long Beach, CA, US",33.8640087809,-118.204368051,11366,,,,11366,,,FALSE,,,,Cimicidae,Bed Bugs,Insecta,53667
51361585,Mon Jun 29 2020 07:23:01 GMT-0700 (PDT),2020-06-29,2020-06-29 14:23:01 UTC,Pacific Time (US & Canada),34631,eme,,2020-06-29 14:28:28 UTC,2022-11-26 06:20:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51361585,https://inaturalist-open-data.s3.amazonaws.com/photos/81595741/medium.jpg,,,Wyndham Hotel bed ,1,0,FALSE,3,"W Airport Dr, Visalia, CA, US",36.32620333,-119.39186167,65,,,,65,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
52010199,Sun Jul 05 2020 05:40:08 GMT-0700 (PDT),2020-07-05,2020-07-05 12:40:08 UTC,Pacific Time (US & Canada),451852,gary_wallen,Gary Wallen,2020-07-05 12:50:48 UTC,2021-03-28 22:11:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52010199,https://inaturalist-open-data.s3.amazonaws.com/photos/82660519/medium.jpg,,,,1,0,FALSE,3,"S Orange Dr, Los Angeles, CA, US",34.0509857002,-118.345427984,22,,,,22,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
