latitude,longitude,county_name
37.8808833333,-121.9084233333,Contra Costa County
32.74483625,-116.1410522496,San Diego County
37.8820633333,-122.18792,Contra Costa County
33.4353433333,-117.3754916667,San Diego County
37.5854117512,-121.2441230649,Stanislaus County
37.6662303,-122.4960807,San Mateo County
38.665925045,-120.9929007589,El Dorado County
32.8583816533,-116.2274403706,San Diego County
34.0491666836,-116.5668491592,San Bernardino County
34.1523221667,-117.8547833333,Los Angeles County
37.2541833333,-122.4154866667,San Mateo County
33.6648170414,-116.3970050475,Riverside County
37.5240364574,-122.2005153683,San Mateo County
38.7815518643,-120.9878876813,El Dorado County
38.6829521252,-121.0727642867,El Dorado County
38.6826361445,-121.0730135851,El Dorado County
37.5094835059,-122.3403819715,San Mateo County
37.434624184,-122.3124432594,San Mateo County
34.110138054,-116.1069530455,San Bernardino County
33.6686724073,-116.4050588034,Riverside County
